City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,bukachacha,52.9833,116.9167,252.85,73,68,1.25,RU,1670050935
129,kushima,31.4583,131.2333,288.01,77,100,2.53,JP,1670050935
130,belaya gora,68.5333,146.4167,247.41,78,100,6.29,RU,1670050936
131,halayhayin,14.1891,121.4075,303.38,79,94,4.72,PH,1670050936
132,seoul,37.5683,126.9778,278.84,78,98,1.18,KR,1670050833
133,dunedin,-45.8742,170.5036,286.37,72,100,2.77,NZ,1670050937
134,tambura,5.6,27.4667,301.37,47,84,2.13,SS,1670050937
135,zhumadian,32.9794,114.0294,279.86,46,100,1.81,CN,1670050937
136,buckeye,33.3703,-112.5838,286.94,71,0,3.09,US,1670050938
137,shakawe,-18.3667,21.85,304.5,19,6,3.39,BW,1670050938
138,paranapanema,-23.3886,-48.7228,292.41,90,87,0.82,BR,1670050938
139,tiarei,-17.5333,-149.3333,300.16,82,90,8.61,PF,1670050938
140,hobart,-42.8794,147.3294,300.52,56,0,10.29,AU,1670050939
141,smithers,54.7804,-127.1743,255.63,98,27,0.23,CA,1670050939
142,lebu,-37.6167,-73.65,286.09,93,74,2.42,CL,1670050939
143,huanta,-12.9333,-74.25,288.28,56,69,0.76,PE,1670050939
144,thompson,55.7435,-97.8558,245.24,76,20,2.57,CA,1670050939
145,ancud,-41.8697,-73.8203,284.48,94,39,2.6,CL,1670050940
146,emerald,-23.5333,148.1667,300.01,37,29,5.92,AU,1670050940
147,tura,25.5198,90.2201,298.63,50,0,1.64,IN,1670050940
148,narasannapeta,18.4167,84.05,301.19,63,81,3.72,IN,1670050940
149,dali,25.7,100.1833,291.08,24,0,3.3,CN,1670050941
150,sinjar,36.3209,41.8754,287.84,61,25,0.6,IQ,1670050941
151,lodwar,3.1191,35.5973,304.89,34,51,9.76,KE,1670050941
152,luxor,25.6989,32.6421,293.62,27,18,1.36,EG,1670050864
153,jinxiang,27.4327,120.6062,288.36,90,100,3.08,CN,1670050941
154,bilibino,68.0546,166.4372,248.26,98,56,1.47,RU,1670050942
155,svetlaya,46.5389,138.3297,265.99,74,23,2.82,RU,1670050942
156,san jeronimo,-11.9472,-75.2829,281.68,58,17,0.46,PE,1670050942
157,kenscoff,18.4506,-72.2869,286.55,84,0,0.68,HT,1670050942
158,roura,4.7263,-52.3274,296.1,94,75,1.03,GF,1670050942
159,kiunga,-6.1219,141.2906,298.78,92,100,1.12,PG,1670050943
160,kununurra,-15.7667,128.7333,313.14,15,100,2.57,AU,1670050943
161,caraquet,47.7941,-64.9386,271.28,65,62,4.5,CA,1670050943
162,cairns,-16.9167,145.7667,302.63,62,75,5.66,AU,1670050804
163,goldsboro,35.3849,-77.9928,284.11,100,75,0.0,US,1670050944
164,jamestown,42.097,-79.2353,282.99,51,100,6.69,US,1670050944
165,yarada,17.65,83.2667,303.33,62,40,4.12,IN,1670050944
166,evensk,61.95,159.2333,260.74,95,100,2.99,RU,1670050944
167,klaksvik,62.2266,-6.589,280.66,95,100,10.28,FO,1670050944
168,iqaluit,63.7506,-68.5145,258.54,84,100,0.33,CA,1670050945
169,mount gambier,-37.8333,140.7667,298.11,34,6,2.65,AU,1670050945
170,roma,43.2128,-75.4557,279.72,58,100,2.68,US,1670050570
171,padang,-0.9492,100.3543,300.18,74,100,1.99,ID,1670050945
172,preobrazheniye,42.9019,133.9064,273.22,50,2,8.9,RU,1670050945
173,marathon,44.9,-89.7668,272.99,88,100,9.77,US,1670050946
174,vaitape,-16.5167,-151.75,300.48,74,80,8.61,PF,1670050946
175,chapaevsk,52.9813,49.7112,262.05,69,0,3.3,RU,1670050946
176,cabo san lucas,22.8909,-109.9124,296.77,83,10,2.67,MX,1670050947
177,gold coast,-28.0,153.4333,298.02,76,40,6.69,AU,1670050947
178,saint-augustin,51.226,-58.6502,259.28,93,98,1.16,CA,1670050947
179,palmer,42.1584,-72.3287,277.95,74,100,3.52,US,1670050947
180,saint george,37.1041,-113.5841,281.45,51,0,1.54,US,1670050948
